Modelo,Acurácia,Precisão,Recall,F1-Score,Tempo (s)
Random Forest,0.9652142857142857,0.9652601726398079,0.9652142857142857,0.9652008739406649,7.617350101470947
KNN,0.9721428571428572,0.9723711450292405,0.9721428571428572,0.9721100115745157,5.9520649909973145
MLP (Rede Neural),0.9713571428571428,0.9716392813381921,0.9713571428571428,0.9713362264338867,19.171180963516235
